"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"11/03/2026 00:00:00 - 11/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 1","92.02","",""
"11/03/2026 00:00:00 - 11/03/2026 00:15:00","BZN|DE-LU","Sequence Sequence 2","98.25","",""
"11/03/2026 00:15:00 - 11/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 1","88.96","",""
"11/03/2026 00:15:00 - 11/03/2026 00:30:00","BZN|DE-LU","Sequence Sequence 2","88.83","",""
"11/03/2026 00:30:00 - 11/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 1","84.57","",""
"11/03/2026 00:30:00 - 11/03/2026 00:45:00","BZN|DE-LU","Sequence Sequence 2","84.09","",""
"11/03/2026 00:45:00 - 11/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 1","70.28","",""
"11/03/2026 00:45:00 - 11/03/2026 01:00:00","BZN|DE-LU","Sequence Sequence 2","75.52","",""
"11/03/2026 01:00:00 - 11/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 1","80.74","",""
"11/03/2026 01:00:00 - 11/03/2026 01:15:00","BZN|DE-LU","Sequence Sequence 2","80.09","",""
"11/03/2026 01:15:00 - 11/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 1","73.20","",""
"11/03/2026 01:15:00 - 11/03/2026 01:30:00","BZN|DE-LU","Sequence Sequence 2","76.62","",""
"11/03/2026 01:30:00 - 11/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 1","68.70","",""
"11/03/2026 01:30:00 - 11/03/2026 01:45:00","BZN|DE-LU","Sequence Sequence 2","81.34","",""
"11/03/2026 01:45:00 - 11/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 1","60.58","",""
"11/03/2026 01:45:00 - 11/03/2026 02:00:00","BZN|DE-LU","Sequence Sequence 2","72.22","",""
"11/03/2026 02:00:00 - 11/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 1","68.38","",""
"11/03/2026 02:00:00 - 11/03/2026 02:15:00","BZN|DE-LU","Sequence Sequence 2","71.70","",""
"11/03/2026 02:15:00 - 11/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 1","66.97","",""
"11/03/2026 02:15:00 - 11/03/2026 02:30:00","BZN|DE-LU","Sequence Sequence 2","69.50","",""
"11/03/2026 02:30:00 - 11/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 1","64.00","",""
"11/03/2026 02:30:00 - 11/03/2026 02:45:00","BZN|DE-LU","Sequence Sequence 2","67.30","",""
"11/03/2026 02:45:00 - 11/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 1","62.35","",""
"11/03/2026 02:45:00 - 11/03/2026 03:00:00","BZN|DE-LU","Sequence Sequence 2","65.10","",""
"11/03/2026 03:00:00 - 11/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 1","65.40","",""
"11/03/2026 03:00:00 - 11/03/2026 03:15:00","BZN|DE-LU","Sequence Sequence 2","62.15","",""
"11/03/2026 03:15:00 - 11/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 1","65.41","",""
"11/03/2026 03:15:00 - 11/03/2026 03:30:00","BZN|DE-LU","Sequence Sequence 2","64.32","",""
"11/03/2026 03:30:00 - 11/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 1","62.91","",""
"11/03/2026 03:30:00 - 11/03/2026 03:45:00","BZN|DE-LU","Sequence Sequence 2","62.21","",""
"11/03/2026 03:45:00 - 11/03/2026 04:00:00","BZN|DE-LU","Sequence Sequence 1","60.57","",""
